agent_name,episode,total_reward,urllc_violation_rate,embb_outage_rate,embb_throughput_variance
fixed_rr,0,-0.5,0.0,0.007142857142857143,4.9248866213151974e-05
fixed_rr,1,-0.5,0.0,0.007142857142857143,4.9248866213151974e-05
fixed_rr,2,-1.0,0.007142857142857143,0.0,0.0
fixed_rr,3,-1.0,0.007142857142857143,0.0,0.0
fixed_rr,4,-1.5,0.0,0.02142857142857143,0.00014562074829931987
fixed_rr,5,-1.5,0.007142857142857143,0.007142857142857143,4.9248866213151974e-05
fixed_rr,6,0.0,0.0,0.0,0.0
fixed_rr,7,-1.5,0.0,0.02142857142857143,0.00014562074829931987
fixed_rr,8,0.0,0.0,0.0,0.0
fixed_rr,9,-0.5,0.0,0.007142857142857143,4.924886621315199e-05
fixed_rr,10,-1.0,0.0,0.014285714285714285,9.778911564625856e-05
fixed_rr,11,-0.5,0.0,0.007142857142857143,4.9248866213151974e-05
fixed_rr,12,-1.0,0.007142857142857143,0.0,0.0
fixed_rr,13,0.0,0.0,0.0,0.0
fixed_rr,14,-1.0,0.007142857142857143,0.0,0.0
fixed_rr,15,-1.5,0.007142857142857143,0.007142857142857143,4.9248866213151974e-05
fixed_rr,16,-3.0,0.02142857142857143,0.0,0.0
fixed_rr,17,0.0,0.0,0.0,0.0
fixed_rr,18,-1.0,0.007142857142857143,0.0,0.0
fixed_rr,19,-0.5,0.0,0.007142857142857143,4.924886621315199e-05
fixed_rr,20,-3.0,0.014285714285714285,0.014285714285714285,9.77891156462586e-05
fixed_rr,21,-3.5,0.02142857142857143,0.007142857142857143,4.924886621315199e-05
fixed_rr,22,0.0,0.0,0.0,0.0
fixed_rr,23,-1.5,0.007142857142857143,0.007142857142857143,4.924886621315197e-05
fixed_rr,24,-1.0,0.007142857142857143,0.0,0.0
fixed_rr,25,-1.0,0.007142857142857143,0.0,0.0
fixed_rr,26,-4.0,0.02142857142857143,0.014285714285714285,9.77891156462586e-05
fixed_rr,27,0.0,0.0,0.0,0.0
fixed_rr,28,-3.0,0.007142857142857143,0.02857142857142857,0.0001927437641723358
fixed_rr,29,-2.0,0.014285714285714285,0.0,0.0
fixed_rr,30,0.0,0.0,0.0,0.0
fixed_rr,31,-3.0,0.014285714285714285,0.014285714285714285,9.778911564625858e-05
fixed_rr,32,-1.0,0.007142857142857143,0.0,0.0
fixed_rr,33,-1.5,0.007142857142857143,0.007142857142857143,4.924886621315199e-05
fixed_rr,34,-1.5,0.007142857142857143,0.007142857142857143,4.9248866213151974e-05
fixed_rr,35,-3.5,0.014285714285714285,0.02142857142857143,0.00014562074829931987
fixed_rr,36,-3.0,0.014285714285714285,0.014285714285714285,9.77891156462586e-05
fixed_rr,37,-2.5,0.014285714285714285,0.007142857142857143,4.9248866213151974e-05
fixed_rr,38,0.0,0.0,0.0,0.0
fixed_rr,39,-0.5,0.0,0.007142857142857143,4.924886621315199e-05
fixed_rr,40,-4.5,0.02857142857142857,0.007142857142857143,4.9248866213151974e-05
fixed_rr,41,-0.5,0.0,0.007142857142857143,4.924886621315199e-05
